组	旧事实	新事实	载体	原文
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:46	| D23（journal 的角色与格式） 的反向判据「O2（独立解析器 + checker） 抓到而 checker + O1（内存模型对拍（HashMap 理想文件系统）） + 崩溃点重放三者都没抓到的事件数为 0」 | **按字面恒为 0，不可证伪**——D13（验证路线）里 O2（独立解析器 + checker） **就是** checker。主语改成**记录核对器** |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:62	⚠️ **三个 oracle 今天只有 O2（独立解析器 + checker） 有代码**（`crates/singlefs-checker`，只依赖格式常量 crate，2026-09-14）；O1（内存模型对拍（HashMap 理想文件系统）） 与 O3（独立规约执行器） 仍零代码（`grep -rn RefFs crates/` 零命中）。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:202	**冲突 2：crash refinement 的 spec 与模型对拍的 model 是同一个东西的两种写法。**
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:256	⚠️ **臂 A 唯一的真优势要记下来**：nonce 对 POSIX 不可见 ⇒ 它的 spec 与 O1（内存模型对拍（HashMap 理想文件系统）） 的 model
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:312	O1（内存模型对拍（HashMap 理想文件系统））**明写「不管崩溃」**，因而
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:317	⚠️ **它同时改变 D13（验证路线） 三个 oracle 的关系**：O1（内存模型对拍（HashMap 理想文件系统））原本只答功能正确性，
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/15-格式冻结政策.md:28	| 5 | 模型对拍与崩溃点重放层 0 各至少跑过一轮 PASS，**且跑的正是即将冻结的那份格式指纹** | 否则 v1 描述的是一份从未被任何自动化验证碰过的格式 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/17-实现分层与第三方管道.md:162	**定案**：「入口」的可执行定义由 RefFS 给——按 D13（验证路线） 已定项 3「做到极致、自己处理持久化与崩溃语义」，O1（内存模型对拍（HashMap 理想文件系统）） 扩成的 RefFS 定义 fsync 的持久性承诺；不另起 O3（独立规约执行器）。2026-09-08 复核那句「按已定项 3 读已经是扩模型」由用户落成条款。代价是 D13（验证路线） 已定项 3 逐字「工程量接近再写一个文件系统」。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/17-实现分层与第三方管道.md:166	> 原第 4 条：**「入口」的可执行定义**：D13（验证路线） 的 O1（内存模型对拍（HashMap 理想文件系统））是候选，但那个模型 改第一个事务的字节：否（2026-09-01，依据：定的是两个 oracle 的边界，落在验证侧）。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/17-实现分层与第三方管道.md:171	> 说的正是 O1（内存模型对拍（HashMap 理想文件系统））那个模型
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/17-实现分层与第三方管道.md:175	> ⚠️ **交用户的两条岔路（2026-09-13 整理）**：甲 按 D13（验证路线） 已定项 3 把「入口」定义成 RefFS（O1（内存模型对拍（HashMap 理想文件系统）） 扩成自己处理持久化与崩溃语义的规约执行器）的操作面——fsync 的持久性承诺由 RefFS 的崩溃语义定义，D13（验证路线） 已定项 3 逐字「工程量接近再写一个文件系统」是它的代价；乙 另起 O3（独立规约执行器） 只定义 fsync 一条承诺、其余交 O1（内存模型对拍（HashMap 理想文件系统））——多一个 oracle、少一次「做到极致」。甲与已定项 3 同向，取乙要重开 D13（验证路线） 已定项 3。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/23-journal的角色与格式.md:1099	「O2（独立解析器 + checker） 抓到而 checker + O1（内存模型对拍（HashMap 理想文件系统）） + 崩溃点重放三者都没抓到」的事件数仍为 **0**
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/invariants.md:272	| I-9.11 | 可写克隆头有水位行 | 每个可写克隆头的树 ID 在记账里都有「inode 号水位」行（树表可枚举、记账可查）；「初值 ≥ origin 那一刻的水位」是建克隆那一刻的操作断言，转模型对拍——它的右操作数在 K 次发布后被 D5（快照 / 空间记账机制） 已定项 2 的点删丢掉，对着镜像读不到 | 未实现，前置：树的种类 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/invariants.md:277	**不进 I-9（inode 树结构） 的**：分裂 / 合并的身份传递（左半身份不变、右半号 = 触发分裂的新记录号、出生树 = 执行分裂的树）与合并时机是操作断言，对着一个镜像判不了，走单测 / 模型对拍与崩溃点重放（C116（叶容器的分裂 / 合并纪律没有会失败的检查））；
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/milestone/02-second-txn.md:386	## 增补 3　捶打 `crates/`：随机历史、崩溃与故障注入、坏盘输入、与理想模型对拍
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/milestone/02-second-txn.md:399	| 与理想模型对拍 | 没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 第 296–298 行的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里声明 `# gate-covers:` 的只有 54 号（崩溃点重放）；层 0 的多版本 oracle（`crates/singlefs-harness/src/crash.rs` 的 `oracle_violation_for_versions`）只答「这个崩溃状态恢复到的版本在不在允许集合里」，允许集合按固定脚本写死 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/milestone/02-second-txn.md:406	2. 理想模型与对拍（验收加一条，2026-09-18 第 1 件代码三方第一轮判决：模型接上之后，攻方腿的六条变异都要判红——装得下的内容被拒、合法的回退目标被拒、抬 F 越过上限被接受（两条）、冷启动读回失败、复用改写时分配代不改，变异名与原文在 `research/prompts/m2-supp3-item1-code-r1-opus-model/mutants.tsv`）：一个只住内存的模型，记每一版提交的内容、每条根属于哪个实例、实例表的行、F，回答「冷启动该读回哪一版」「回退到这条根该不该被拒」「这个错误该不该出现」；第 1 件的每一步拿实现的结局与模型比。模型不与 `crates/singlefs-core` 共用代码，只共享格式常量，与 checker 同一条（D13（验证路线） 已定项 5）。接上之后门禁阶段声明 `# gate-covers: 模型对拍`。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/milestone/02-second-txn.md:423	- 生成器与模型：快档进门禁、声明 `# gate-covers: 模型对拍`、全绿（「已知红」清单里的除外，逐条报出）；判别力：把 `crates/mutations.tsv` 第 41 行（步 5：复用时追加记录而不改写）与第 121 行（复用时新记录罩住的已回收记录不删）各改回去一次，快档在写死的种子数之内判红并报出种子。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/milestone/02-second-txn.md:495	- 叶容器与分裂按 D8（核心索引结构） 已定项 6：一容器 233 条；三条写路径纪律（末尾分裂左半保留全部记录与身份……）今天没有会失败的检查（C116（叶容器的分裂 / 合并纪律没有会失败的检查）），这条线要把它做成会红的量——[invariants.md](../invariants.md) 逐字写它「对着一个镜像判不了，走单测 / 模型对拍与崩溃点重放」，checker 判不了、记录核对器停在句法层，能判的只有恢复加 oracle 那一路（期望态里带分裂前的身份，攻方腿打中的第十条）。
