M1_两块盘改成一块	const DEVICE_COUNT: u64 = 2;	const DEVICE_COUNT: u64 = 1;
R2_M14_摊销分母取N加1	(fsync_total_bytes as f64 * interval_fsyncs as f64 + checkpoint_total_bytes as f64) / interval_fsyncs as f64	(fsync_total_bytes as f64 * interval_fsyncs as f64 + checkpoint_total_bytes as f64) / (interval_fsyncs as f64 + 1.0)
R2_M15_乙M在一批里写全部祖先	            (extent_total, inode_container, inode_root, 2u64)\n        }\n        WriteAheadLogArm::WriteAheadLogLeaf => {\n            let extent_leaf = extent_dirty[0];	            (extent_total, inode_container, inode_root, 2u64)\n        }\n        WriteAheadLogArm::WriteAheadLogLeaf => {\n            let extent_leaf = sum_f64(&extent_dirty);
R2_M18_K9prime中间版不进积压	let release_backlog_units = previous_written_units + distinct_data_units_touched + extra_allocation_release_insertions;	let release_backlog_units = previous_written_units + distinct_data_units_touched;
R2_M19_甲按WAL臂算中间版结构恒零	        0.0, // 甲没有中间版（K9′ 只对 WAL 两臂有意义）。	        (1.0_f64 * 0.0_f64), // R2_M19：甲按 WAL 臂的中间版公式算，结构上恒 0（每批就是一次发布），预期等价
R2_M9_甲组提交每个fsync各写一份固定点	        // R8 一批只写一份固定点、一条记录组、一个根槽、一份超级块（M9 的反例：每个 fsync 各写一份）。\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,\n        superblock_bytes: SUPERBLOCK_SLOT_BYTES * DEVICE_COUNT,	        // R8 一批只写一份固定点、一条记录组、一个根槽、一份超级块（M9 的反例：每个 fsync 各写一份）。\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT * concurrent_fsync_count,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT * concurrent_fsync_count,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT * concurrent_fsync_count,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT * concurrent_fsync_count,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT * concurrent_fsync_count,\n        root_slot_bytes: pbs * concurrent_fsync_count,\n        superblock_bytes: SUPERBLOCK_SLOT_BYTES * DEVICE_COUNT * concurrent_fsync_count,
R2_M10_WAL两臂一批写concurrent_fsync_count条记录	    let record_count = named_items.div_ceil(NAMED_ITEMS_PER_RECORD_MAIN).max(1);\n    let unit_count = (batch_data_unit_count as f64 + extent_component + inode_container_component + inode_root_component).round() as u64;	    let record_count = concurrent_fsync_count;\n    let unit_count = (batch_data_unit_count as f64 + extent_component + inode_container_component + inode_root_component).round() as u64;
R2_M11_不共享照共享算	    let extent_touch = if shared {\n        TouchSpecification::Continuous(batch_data_unit_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: fsync_data_unit_count as f64 }\n    };\n    let inode_touch = if shared {\n        TouchSpecification::Continuous(concurrent_fsync_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: 1.0 }\n    };	    let extent_touch = if !shared {\n        TouchSpecification::Continuous(batch_data_unit_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: fsync_data_unit_count as f64 }\n    };\n    let inode_touch = if !shared {\n        TouchSpecification::Continuous(concurrent_fsync_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: 1.0 }\n    };
R2_M12_共享照不共享算	    let extent_touch = if shared {\n        TouchSpecification::Continuous(batch_data_unit_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: fsync_data_unit_count as f64 }\n    };\n    let inode_touch = if shared {\n        TouchSpecification::Continuous(concurrent_fsync_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: 1.0 }\n    };	    let extent_touch = if !shared {\n        TouchSpecification::Continuous(batch_data_unit_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: fsync_data_unit_count as f64 }\n    };\n    let inode_touch = if !shared {\n        TouchSpecification::Continuous(concurrent_fsync_count as f64)\n    } else {\n        TouchSpecification::UnsharedPaths { path_count: concurrent_fsync_count as f64, group_size: 1.0 }\n    };
R2_M13_间隔按批计	    interval_fsyncs / concurrent_fsync_count	    interval_fsyncs
R2_M16_甲摊到的写不除以并发数	    batch_value as f64 / concurrent_fsync_count as f64	    batch_value as f64
R2_M17_WAL两臂每批刷写按fsync各算一次	        data_bytes: batch_data_unit_count * UNIT_BYTES * DEVICE_COUNT,\n        extent_bytes: (extent_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        inode_container_bytes: (inode_container_component * UNIT_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        inode_root_bytes: (inode_root_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        write_calls,\n        barriers: 2 * DEVICE_COUNT,	        data_bytes: batch_data_unit_count * UNIT_BYTES * DEVICE_COUNT,\n        extent_bytes: (extent_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        inode_container_bytes: (inode_container_component * UNIT_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        inode_root_bytes: (inode_root_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        write_calls,\n        barriers: 2 * DEVICE_COUNT * concurrent_fsync_count,
