# E158 岔路单各臂对 crates/ 的改动：四列，制表符分隔——说明 <TAB> 文件 <TAB> 旧串 <TAB> 新串。
# 与 crates/mutations.tsv 不同：这里不是「改坏 crates/、看会不会被测出来」的变异，是「这一臂真正要跑的代码长什么样」，
# 在草稿目录里对整棵工作树 cp -a 出来的副本上逐条套用（不改主工作区），套用之后各自编译（跑前登记「装置写在哪」）。
# 旧串在副本文件里必须恰好命中一次（同 crates/mutations.tsv 的锚点纪律）；\n 表示换行。
A1（岔路单第 1 行候选 (a) 显式报告）：MountError 新增变体	crates/singlefs-core/src/mount.rs	pub enum MountError {\n    Recovery(RecoveryFailure),	pub enum MountError {\n    Recovery(RecoveryFailure),\n    /// E158 岔路单第 1 行候选 (a)：被抛弃根的账（树表或分配记录树）在 `rebuilt_allocator` 之后读不出，\n    /// 显式报告、不静默放行——拒绝这次可写挂载 / 回退，在 `establish_instance`（取号，第一次写）之前返回。\n    /// 只在 A1 副本上存在，`crates/` 今天没有这个变体（跑前登记 5.2 (a)）。\n    AbandonedRootLedgerUnreadable { count: u64 },
乙-只配置：parse_slot 交回的结构体带上 published_txg	crates/singlefs-core/src/system_configuration.rs	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n            },\n        })\n    }	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n                published_txg,\n            },\n        })\n    }
乙-只配置：#[cfg(test)] sample() 补 published_txg（不影响非 test 构建，收尾用）	crates/singlefs-core/src/system_configuration.rs	quantities: SystemRuntimeQuantities {\n                slot_generation: 1,\n                journal_tail: 0,\n                journal_instance: InstanceGeneration(0),\n            },\n        }\n    }	quantities: SystemRuntimeQuantities {\n                slot_generation: 1,\n                journal_tail: 0,\n                journal_instance: InstanceGeneration(0),\n                published_txg: 0,\n            },\n        }\n    }
乙-只配置：mkfs 写 published_txg = 0	crates/singlefs-core/src/make_filesystem.rs	quantities: SystemRuntimeQuantities {\n                slot_generation: SYSTEM_CONFIGURATION_GENERATION_AT_MKFS,\n                journal_tail: 0,\n                journal_instance: instance,\n            },\n        };	quantities: SystemRuntimeQuantities {\n                slot_generation: SYSTEM_CONFIGURATION_GENERATION_AT_MKFS,\n                journal_tail: 0,\n                journal_instance: instance,\n                published_txg: 0,\n            },\n        };
乙-只配置：CommitStep::RotateSystemConfigurationSlots 加 published_txg 字段	crates/singlefs-core/src/transaction.rs	RotateSystemConfigurationSlots {\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n    },\n    Barrier,	RotateSystemConfigurationSlots {\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n        /// E158 岔路单第 2 行乙-只配置臂新增（跑前登记 5.3）：这次轮换要写进去的 `published_txg`。\n        /// 研究副本，不进主工作区。\n        published_txg: u64,\n    },\n    Barrier,
乙-只配置：perform() 的 RotateSystemConfigurationSlots 分支透传 published_txg	crates/singlefs-core/src/transaction.rs	CommitStep::RotateSystemConfigurationSlots {\n                journal_tail,\n                journal_instance,\n            } => {\n                for index in 0..self.devices.len() {\n                    self.write_system_configuration_slot(index, journal_tail, journal_instance)?;\n                }	CommitStep::RotateSystemConfigurationSlots {\n                journal_tail,\n                journal_instance,\n                published_txg,\n            } => {\n                for index in 0..self.devices.len() {\n                    self.write_system_configuration_slot(\n                        index,\n                        journal_tail,\n                        journal_instance,\n                        published_txg,\n                    )?;\n                }
乙-只配置：write_system_configuration_slot 签名加 published_txg 参数	crates/singlefs-core/src/transaction.rs	fn write_system_configuration_slot(\n        &mut self,\n        index: usize,\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n    ) -> Result<(), BlockDeviceError> {	fn write_system_configuration_slot(\n        &mut self,\n        index: usize,\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n        published_txg: u64,\n    ) -> Result<(), BlockDeviceError> {
乙-只配置：write_system_configuration_slot 内部构造带上 published_txg	crates/singlefs-core/src/transaction.rs	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n            },\n        };\n        self.has_writes_since_barrier = true;	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n                published_txg,\n            },\n        };\n        self.has_writes_since_barrier = true;
乙-只配置：取号全或无失败回卷调用加 published_txg 占位 0	crates/singlefs-core/src/transaction.rs	if let Err(rollback_error) =\n                self.write_system_configuration_slot(index, 0, previous_instance)\n            {	if let Err(rollback_error) =\n                self.write_system_configuration_slot(index, 0, previous_instance, 0)\n            {
乙-只配置：取号写占位调用加 published_txg 占位 0	crates/singlefs-core/src/transaction.rs	if let Err(cause) = pool.write_system_configuration_slot(index, 0, instance) {	if let Err(cause) = pool.write_system_configuration_slot(index, 0, instance, 0) {
乙-只配置：写行/暖机/树表 0 条发布收尾的轮换调用带上 published_txg = checkpoint_txg	crates/singlefs-core/src/transaction.rs	writer.perform(CommitStep::RotateSystemConfigurationSlots {\n        journal_tail,\n        journal_instance,\n    })\n}	writer.perform(CommitStep::RotateSystemConfigurationSlots {\n        journal_tail,\n        journal_instance,\n        published_txg: checkpoint_txg.0,\n    })\n}
乙-只配置（岔路单第 2 行 ①，C331 修法）：first_txg_of_new_instance 只信系统配置的 published_txg，不读根环也不读记录	crates/singlefs-core/src/mount.rs	/// 新实例的第一次发布的 checkpoint_txg = max(根环里全部根记录的 txg, 环里全部自证通过的记录的 checkpoint_txg) + 1\n/// （D23（journal 的角色与格式） 已定项 14 第 3 条）。\nfn first_txg_of_new_instance<Device: BlockDevice>(\n    devices: &[(DeviceIdentity, Device)],\n    system_configuration: &crate::system_configuration::SystemConfiguration,\n    records: &std::collections::BTreeMap<(InstanceGeneration, u64), crate::journal::JournalRecord>,\n) -> CheckpointTxg {\n    let highest_record_txg = records\n        .values()\n        .map(|record| record.checkpoint_txg)\n        .max()\n        .unwrap_or(CheckpointTxg(0));\n    let highest_ring_txg = highest_root_txg(\n        devices,\n        &system_configuration.immutable.region_devices,\n        &system_configuration.immutable.sizes,\n        &system_configuration.immutable.filesystem_identifier,\n    )\n    .unwrap_or(CheckpointTxg(0));\n    CheckpointTxg(highest_ring_txg.max(highest_record_txg).0 + 1)\n}	/// E158 岔路单第 2 行乙-只配置臂：不读根环也不读 journal 记录，只信系统配置的 `published_txg`\n/// （跑前登记 5.3）。`devices`/`records` 参数按调用方签名保留，故意不读——研究副本，不进主工作区。\nfn first_txg_of_new_instance<Device: BlockDevice>(\n    _devices: &[(DeviceIdentity, Device)],\n    system_configuration: &crate::system_configuration::SystemConfiguration,\n    _records: &std::collections::BTreeMap<(InstanceGeneration, u64), crate::journal::JournalRecord>,\n) -> CheckpointTxg {\n    CheckpointTxg(system_configuration.quantities.published_txg + 1)\n}
乙-留环（岔路单第 2 行 ①，C331 修法）：系统配置字段表合计 481 → 489	crates/singlefs-format/src/lib.rs	/// 系统配置字段表合计（D22（单元原子性怎么合成） 已定项 9 / 已定项 15；2026-09-14 用户定案加四个字段）。format-const: SYSTEM_CONFIGURATION_BYTES\npub const SYSTEM_CONFIGURATION_BYTES: u64 = 481;	/// E158 岔路单第 2 行乙-留环臂：加一个 `published_txg: u64`（8 字节），跑前登记 5.3。\n/// 原值 481（`crates/` 今天的字段表合计），研究副本，不进主工作区。\npub const SYSTEM_CONFIGURATION_BYTES: u64 = 489;
乙-留环：SystemRuntimeQuantities 加 published_txg 字段	crates/singlefs-core/src/system_configuration.rs	#[derive(Clone, Copy, Debug, PartialEq, Eq)]\npub struct SystemRuntimeQuantities {\n    pub slot_generation: u64,\n    pub journal_tail: u64,\n    pub journal_instance: InstanceGeneration,\n}\n\nimpl SystemRuntimeQuantities {\n    /// 这一类在字段表里占的字节数：8 + 32 + 8 + 4。\n    pub const FIELD_TABLE_BYTES: u64 = 52;\n}	#[derive(Clone, Copy, Debug, PartialEq, Eq)]\npub struct SystemRuntimeQuantities {\n    pub slot_generation: u64,\n    pub journal_tail: u64,\n    pub journal_instance: InstanceGeneration,\n    /// E158 岔路单第 2 行乙-留环臂新增（跑前登记 5.3）：紧接 journal 实例代号之后写，8 字节。\n    /// 取号写占位 0（`write_acquired_instance`）、轮换写刚落盘那条根的 checkpoint_txg\n    /// （`persist_the_root_then_rotate_the_system_configuration`）。研究副本，不进主工作区。\n    pub published_txg: u64,\n}\n\nimpl SystemRuntimeQuantities {\n    /// 这一类在字段表里占的字节数：8 + 32 + 8 + 4 + 8（乙-留环新增的 `published_txg`）。\n    pub const FIELD_TABLE_BYTES: u64 = 60;\n}
乙-留环：to_slot 写出 published_txg	crates/singlefs-core/src/system_configuration.rs	slot.write(SlotFieldMutability::RuntimeQuantity, |writer| {\n            writer.assert_position(TAIL_OFFSET, "journal tail");\n            writer.put_u64(self.quantities.journal_tail);\n            writer.put_u32(self.quantities.journal_instance.0);\n        });	slot.write(SlotFieldMutability::RuntimeQuantity, |writer| {\n            writer.assert_position(TAIL_OFFSET, "journal tail");\n            writer.put_u64(self.quantities.journal_tail);\n            writer.put_u32(self.quantities.journal_instance.0);\n            writer.put_u64(self.quantities.published_txg);\n        });
乙-留环：parse_slot 读回 published_txg	crates/singlefs-core/src/system_configuration.rs	let mut tail_reader = ByteReader::at(bytes, usize::try_from(TAIL_OFFSET).expect("469"));\n        let journal_tail = tail_reader.get_u64();\n        let journal_instance = InstanceGeneration(tail_reader.get_u32());\n        Ok(Self {	let mut tail_reader = ByteReader::at(bytes, usize::try_from(TAIL_OFFSET).expect("469"));\n        let journal_tail = tail_reader.get_u64();\n        let journal_instance = InstanceGeneration(tail_reader.get_u32());\n        let published_txg = tail_reader.get_u64();\n        Ok(Self {
乙-留环：parse_slot 交回的结构体带上 published_txg	crates/singlefs-core/src/system_configuration.rs	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n            },\n        })\n    }	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n                published_txg,\n            },\n        })\n    }
乙-留环：#[cfg(test)] sample() 补 published_txg（不影响非 test 构建，收尾用）	crates/singlefs-core/src/system_configuration.rs	quantities: SystemRuntimeQuantities {\n                slot_generation: 1,\n                journal_tail: 0,\n                journal_instance: InstanceGeneration(0),\n            },\n        }\n    }	quantities: SystemRuntimeQuantities {\n                slot_generation: 1,\n                journal_tail: 0,\n                journal_instance: InstanceGeneration(0),\n                published_txg: 0,\n            },\n        }\n    }
乙-留环：mkfs 写 published_txg = 0	crates/singlefs-core/src/make_filesystem.rs	quantities: SystemRuntimeQuantities {\n                slot_generation: SYSTEM_CONFIGURATION_GENERATION_AT_MKFS,\n                journal_tail: 0,\n                journal_instance: instance,\n            },\n        };	quantities: SystemRuntimeQuantities {\n                slot_generation: SYSTEM_CONFIGURATION_GENERATION_AT_MKFS,\n                journal_tail: 0,\n                journal_instance: instance,\n                published_txg: 0,\n            },\n        };
乙-留环：CommitStep::RotateSystemConfigurationSlots 加 published_txg 字段	crates/singlefs-core/src/transaction.rs	RotateSystemConfigurationSlots {\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n    },\n    Barrier,	RotateSystemConfigurationSlots {\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n        /// E158 岔路单第 2 行乙-留环臂新增（跑前登记 5.3）：这次轮换要写进去的 `published_txg`。\n        /// 研究副本，不进主工作区。\n        published_txg: u64,\n    },\n    Barrier,
乙-留环：perform() 的 RotateSystemConfigurationSlots 分支透传 published_txg	crates/singlefs-core/src/transaction.rs	CommitStep::RotateSystemConfigurationSlots {\n                journal_tail,\n                journal_instance,\n            } => {\n                for index in 0..self.devices.len() {\n                    self.write_system_configuration_slot(index, journal_tail, journal_instance)?;\n                }	CommitStep::RotateSystemConfigurationSlots {\n                journal_tail,\n                journal_instance,\n                published_txg,\n            } => {\n                for index in 0..self.devices.len() {\n                    self.write_system_configuration_slot(\n                        index,\n                        journal_tail,\n                        journal_instance,\n                        published_txg,\n                    )?;\n                }
乙-留环：write_system_configuration_slot 签名加 published_txg 参数	crates/singlefs-core/src/transaction.rs	fn write_system_configuration_slot(\n        &mut self,\n        index: usize,\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n    ) -> Result<(), BlockDeviceError> {	fn write_system_configuration_slot(\n        &mut self,\n        index: usize,\n        journal_tail: u64,\n        journal_instance: InstanceGeneration,\n        published_txg: u64,\n    ) -> Result<(), BlockDeviceError> {
乙-留环：write_system_configuration_slot 内部构造带上 published_txg	crates/singlefs-core/src/transaction.rs	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n            },\n        };\n        self.has_writes_since_barrier = true;	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n                published_txg,\n            },\n        };\n        self.has_writes_since_barrier = true;
乙-留环：写行/暖机/树表 0 条发布收尾的轮换调用带上 published_txg = checkpoint_txg	crates/singlefs-core/src/transaction.rs	writer.perform(CommitStep::RotateSystemConfigurationSlots {\n        journal_tail,\n        journal_instance,\n    })\n}	writer.perform(CommitStep::RotateSystemConfigurationSlots {\n        journal_tail,\n        journal_instance,\n        published_txg: checkpoint_txg.0,\n    })\n}
乙-留环：取号全或无失败回卷调用加 published_txg 占位 0	crates/singlefs-core/src/transaction.rs	if let Err(rollback_error) =\n                self.write_system_configuration_slot(index, 0, previous_instance)\n            {	if let Err(rollback_error) =\n                self.write_system_configuration_slot(index, 0, previous_instance, 0)\n            {
乙-留环：取号写占位调用加 published_txg 占位 0	crates/singlefs-core/src/transaction.rs	if let Err(cause) = pool.write_system_configuration_slot(index, 0, instance) {	if let Err(cause) = pool.write_system_configuration_slot(index, 0, instance, 0) {
乙-留环（岔路单第 2 行 ①，C331 修法）：first_txg_of_new_instance 取 max(根环, published_txg)，不读记录	crates/singlefs-core/src/mount.rs	/// 新实例的第一次发布的 checkpoint_txg = max(根环里全部根记录的 txg, 环里全部自证通过的记录的 checkpoint_txg) + 1\n/// （D23（journal 的角色与格式） 已定项 14 第 3 条）。\nfn first_txg_of_new_instance<Device: BlockDevice>(\n    devices: &[(DeviceIdentity, Device)],\n    system_configuration: &crate::system_configuration::SystemConfiguration,\n    records: &std::collections::BTreeMap<(InstanceGeneration, u64), crate::journal::JournalRecord>,\n) -> CheckpointTxg {\n    let highest_record_txg = records\n        .values()\n        .map(|record| record.checkpoint_txg)\n        .max()\n        .unwrap_or(CheckpointTxg(0));\n    let highest_ring_txg = highest_root_txg(\n        devices,\n        &system_configuration.immutable.region_devices,\n        &system_configuration.immutable.sizes,\n        &system_configuration.immutable.filesystem_identifier,\n    )\n    .unwrap_or(CheckpointTxg(0));\n    CheckpointTxg(highest_ring_txg.max(highest_record_txg).0 + 1)\n}	/// E158 岔路单第 2 行乙-留环臂：max(根环里全部根记录的 txg, 系统配置的 published_txg) + 1，\n/// 不读 journal 记录（跑前登记 5.3）。`records` 参数按调用方签名保留，故意不读——研究副本，不进主工作区。\nfn first_txg_of_new_instance<Device: BlockDevice>(\n    devices: &[(DeviceIdentity, Device)],\n    system_configuration: &crate::system_configuration::SystemConfiguration,\n    _records: &std::collections::BTreeMap<(InstanceGeneration, u64), crate::journal::JournalRecord>,\n) -> CheckpointTxg {\n    let highest_ring_txg = highest_root_txg(\n        devices,\n        &system_configuration.immutable.region_devices,\n        &system_configuration.immutable.sizes,\n        &system_configuration.immutable.filesystem_identifier,\n    )\n    .unwrap_or(CheckpointTxg(0));\n    CheckpointTxg(highest_ring_txg.0.max(system_configuration.quantities.published_txg) + 1)\n}
丁-留环（岔路单第 2 行 ①，C331 修法）：系统配置字段表合计 481 → 489	crates/singlefs-format/src/lib.rs	/// 系统配置字段表合计（D22（单元原子性怎么合成） 已定项 9 / 已定项 15；2026-09-14 用户定案加四个字段）。format-const: SYSTEM_CONFIGURATION_BYTES\npub const SYSTEM_CONFIGURATION_BYTES: u64 = 481;	/// E158 岔路单第 2 行丁-留环臂：加一个 `published_txg: u64`（8 字节），跑前登记 5.3。\n/// 原值 481（`crates/` 今天的字段表合计），研究副本，不进主工作区。\npub const SYSTEM_CONFIGURATION_BYTES: u64 = 489;
丁-留环：SystemRuntimeQuantities 加 published_txg 字段	crates/singlefs-core/src/system_configuration.rs	#[derive(Clone, Copy, Debug, PartialEq, Eq)]\npub struct SystemRuntimeQuantities {\n    pub slot_generation: u64,\n    pub journal_tail: u64,\n    pub journal_instance: InstanceGeneration,\n}\n\nimpl SystemRuntimeQuantities {\n    /// 这一类在字段表里占的字节数：8 + 32 + 8 + 4。\n    pub const FIELD_TABLE_BYTES: u64 = 52;\n}	#[derive(Clone, Copy, Debug, PartialEq, Eq)]\npub struct SystemRuntimeQuantities {\n    pub slot_generation: u64,\n    pub journal_tail: u64,\n    pub journal_instance: InstanceGeneration,\n    /// E158 岔路单第 2 行丁-留环臂新增（跑前登记 5.3）：紧接 journal 实例代号之后写，8 字节。\n    /// 取号写占位 0（`write_acquired_instance`）、轮换写刚落盘那条根的 checkpoint_txg\n    /// （`persist_the_root_then_rotate_the_system_configuration`）。研究副本，不进主工作区。\n    pub published_txg: u64,\n}\n\nimpl SystemRuntimeQuantities {\n    /// 这一类在字段表里占的字节数：8 + 32 + 8 + 4 + 8（丁-留环新增的 `published_txg`）。\n    pub const FIELD_TABLE_BYTES: u64 = 60;\n}
丁-留环：to_slot 写出 published_txg	crates/singlefs-core/src/system_configuration.rs	slot.write(SlotFieldMutability::RuntimeQuantity, |writer| {\n            writer.assert_position(TAIL_OFFSET, "journal tail");\n            writer.put_u64(self.quantities.journal_tail);\n            writer.put_u32(self.quantities.journal_instance.0);\n        });	slot.write(SlotFieldMutability::RuntimeQuantity, |writer| {\n            writer.assert_position(TAIL_OFFSET, "journal tail");\n            writer.put_u64(self.quantities.journal_tail);\n            writer.put_u32(self.quantities.journal_instance.0);\n            writer.put_u64(self.quantities.published_txg);\n        });
丁-留环：parse_slot 读回 published_txg	crates/singlefs-core/src/system_configuration.rs	let mut tail_reader = ByteReader::at(bytes, usize::try_from(TAIL_OFFSET).expect("469"));\n        let journal_tail = tail_reader.get_u64();\n        let journal_instance = InstanceGeneration(tail_reader.get_u32());\n        Ok(Self {	let mut tail_reader = ByteReader::at(bytes, usize::try_from(TAIL_OFFSET).expect("469"));\n        let journal_tail = tail_reader.get_u64();\n        let journal_instance = InstanceGeneration(tail_reader.get_u32());\n        let published_txg = tail_reader.get_u64();\n        Ok(Self {
丁-留环：parse_slot 交回的结构体带上 published_txg	crates/singlefs-core/src/system_configuration.rs	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n            },\n        })\n    }	quantities: SystemRuntimeQuantities {\n                slot_generation,\n                journal_tail,\n                journal_instance,\n                published_txg,\n            },\n        })\n    }
